episode,update,state,action,reward,next_state,done,q_old,q_new,td_error,alpha,gamma,epsilon
258,58000,"(5, 15, 0, 51)",1,-1.05,"(5, 15, 0, 50)",0,-1.889846,-1.925988,-0.240945,0.15,0.99,0.597791
260,58500,"(2, 3, 0, 1)",2,-21.05,"(2, 3, 0, 0)",1,-3.811358,-6.397155,-17.238642,0.15,0.99,0.595402
263,59000,"(1, 8, 0, 176)",0,-0.55,"(1, 7, 0, 175)",0,-0.366674,-0.280955,0.571459,0.15,0.99,0.591837
265,59500,"(4, 3, 0, 126)",3,-1.05,"(4, 3, 0, 125)",0,-3.107462,-3.14652,-0.260386,0.15,0.99,0.589472
267,60000,"(1, 4, 0, 76)",1,0.45,"(1, 5, 0, 75)",0,-1.798921,-1.275859,3.48708,0.15,0.99,0.587116
269,60500,"(3, 2, 0, 26)",1,0.45,"(3, 3, 0, 25)",0,-4.068052,-3.914141,1.026071,0.15,0.99,0.58477
272,61000,"(2, 3, 0, 201)",1,-0.55,"(3, 3, 0, 200)",0,-3.604694,-3.519705,0.566591,0.15,0.99,0.581268
274,61500,"(2, 1, 0, 151)",2,0.45,"(3, 1, 0, 150)",0,-1.681906,-1.652407,0.196663,0.15,0.99,0.578946
276,62000,"(2, 1, 0, 101)",1,-1.05,"(2, 1, 0, 100)",0,-1.179593,-1.247559,-0.453104,0.15,0.99,0.576632
278,62500,"(3, 11, 1, 51)",3,-0.55,"(4, 11, 1, 50)",0,-0.283034,-0.312211,-0.19451,0.15,0.99,0.574328
280,63000,"(4, 11, 1, 1)",0,-19.55,"(3, 11, 1, 0)",1,0.268527,-2.704252,-19.818527,0.15,0.99,0.572033
283,63500,"(3, 2, 0, 176)",0,-1.05,"(3, 2, 0, 175)",0,-3.225022,-3.284345,-0.395486,0.15,0.99,0.568608
285,64000,"(5, 11, 0, 126)",0,-0.55,"(4, 11, 0, 125)",0,-0.297836,-0.267106,0.204867,0.15,0.99,0.566335
287,64500,"(2, 3, 0, 76)",2,-1.05,"(2, 3, 0, 75)",0,-2.819666,-2.972937,-1.021803,0.15,0.99,0.564072
289,65000,"(5, 6, 0, 26)",3,0.45,"(5, 5, 0, 25)",0,-0.440101,-0.583064,-0.953085,0.15,0.99,0.561818
292,65500,"(4, 3, 0, 201)",1,-0.55,"(5, 3, 0, 200)",0,-2.894375,-2.772469,0.812707,0.15,0.99,0.558454
294,66000,"(3, 1, 0, 151)",0,0.45,"(3, 2, 0, 150)",0,-2.228171,-2.235337,-0.047775,0.15,0.99,0.556223
296,66500,"(2, 3, 0, 101)",1,-0.55,"(3, 3, 0, 100)",0,-3.209582,-3.142917,0.444432,0.15,0.99,0.554
298,67000,"(10, 15, 1, 51)",3,-1.05,"(10, 15, 1, 50)",0,-0.6564,-0.790753,-0.895691,0.15,0.99,0.551786
300,67500,"(4, 1, 0, 1)",2,-20.55,"(5, 1, 0, 0)",1,-3.263678,-5.856627,-17.286322,0.15,0.99,0.549581
